Time, KP, KD, KI, PID, Angle
11, 368.1818181818182, -3681.818181818182, 0, -3313.636363636364, 0.0
53, 368.1818181818182, 0.0, 0, 368.1818181818182, 0.0
71, 368.1818181818182, 0.0, 0, 368.1818181818182, 0.0
92, 368.1818181818182, 0.0, 0, 368.1818181818182, 0.0
123, 368.1818181818182, 0.0, 0, 368.1818181818182, 0.0
153, 368.6818181818182, -5.0, 0, 363.6818181818182, -0.5
189, 367.1818181818182, 15.0, 0, 382.1818181818182, 1.0
216, 364.1818181818182, 30.0, 0, 394.1818181818182, 4.0
255, 357.6818181818182, 65.0, 0, 422.6818181818182, 10.5
279, 352.1818181818182, 55.0, 0, 407.1818181818182, 16.0
311, 344.6818181818182, 75.0, 0, 419.6818181818182, 23.5
344, 333.1818181818182, 115.0, 0, 448.1818181818182, 35.0
387, 318.6818181818182, 145.0, 0, 463.6818181818182, 49.5
408, 306.6818181818182, 120.0, 0, 426.6818181818182, 61.5
431, 293.1818181818182, 135.0, 0, 428.1818181818182, 75.0
453, 282.1818181818182, 110.0, 0, 392.1818181818182, 86.0
481, 272.6818181818182, 95.0, 0, 367.6818181818182, 95.50000000000001
503, 264.1818181818182, 85.0, 0, 349.1818181818182, 104.0
532, 249.6818181818182, 145.0, 0, 394.6818181818182, 118.5
562, 240.6818181818182, 90.0, 0, 330.6818181818182, 127.5
600, 231.6818181818182, 90.0, 0, 321.6818181818182, 136.5
631, 215.6818181818182, 160.0, 0, 375.6818181818182, 152.5
660, 208.1818181818182, 75.0, 0, 283.1818181818182, 160.0
698, 196.6818181818182, 115.0, 0, 311.6818181818182, 171.5
718, 186.6818181818182, 100.0, 0, 286.6818181818182, 181.5
744, 178.6818181818182, 80.0, 0, 258.6818181818182, 189.5
773, 170.1818181818182, 85.0, 0, 255.1818181818182, 198.0
801, 165.1818181818182, 50.0, 0, 215.1818181818182, 203.0
826, 158.6818181818182, 65.0, 0, 223.6818181818182, 209.5
858, 149.6818181818182, 90.0, 0, 239.6818181818182, 218.5
872, 145.6818181818182, 40.0, 0, 185.6818181818182, 222.5
902, 140.1818181818182, 55.0, 0, 195.1818181818182, 228.0
920, 135.6818181818182, 45.0, 0, 180.6818181818182, 232.5
943, 131.1818181818182, 45.0, 0, 176.1818181818182, 237.0
961, 128.1818181818182, 30.0, 0, 158.1818181818182, 240.0
981, 124.6818181818182, 35.0, 0, 159.6818181818182, 243.5
1003, 121.1818181818182, 35.0, 0, 156.1818181818182, 247.0
1028, 117.6818181818182, 35.0, 0, 152.6818181818182, 250.5
1055, 114.6818181818182, 30.0, 0, 144.6818181818182, 253.5
1066, 111.6818181818182, 30.0, 0, 141.6818181818182, 256.5
1096, 107.1818181818182, 45.0, 0, 152.1818181818182, 261.0
1120, 103.6818181818182, 35.0, 0, 138.6818181818182, 264.5
1156, 100.6818181818182, 30.0, 0, 130.6818181818182, 267.5
1179, 95.18181818181819, 55.0, 0, 150.1818181818182, 273.0
1210, 91.18181818181819, 40.0, 0, 131.1818181818182, 277.0
1256, 86.6818181818182, 45.0, 0, 131.6818181818182, 281.5
1277, 82.18181818181819, 45.0, 0, 127.1818181818182, 286.0
1315, 77.68181818181819, 45.0, 0, 122.6818181818182, 290.5
1345, 74.18181818181819, 35.0, 0, 109.1818181818182, 294.0
1379, 69.18181818181819, 50.0, 0, 119.1818181818182, 299.0
1399, 67.68181818181819, 15.0, 0, 82.68181818181819, 300.5
1428, 64.18181818181819, 35.0, 0, 99.1818181818182, 304.0
1442, 62.18181818181819, 20.0, 0, 82.18181818181819, 306.0
1462, 60.68181818181819, 15.0, 0, 75.68181818181819, 307.5
1485, 58.68181818181819, 20.0, 0, 78.68181818181819, 309.5
1503, 57.68181818181819, 10.0, 0, 67.68181818181819, 310.5
1522, 55.68181818181819, 20.0, 0, 75.68181818181819, 312.5
1559, 53.68181818181819, 20.0, 0, 73.68181818181819, 314.5
1580, 51.68181818181819, 20.0, 0, 71.68181818181819, 316.5
1593, 51.18181818181819, 5.0, 0, 56.18181818181819, 317.0
1628, 48.18181818181819, 30.0, 0, 78.18181818181819, 320.0
1654, 47.68181818181819, 5.0, 0, 52.68181818181819, 320.5
1679, 45.68181818181819, 20.0, 0, 65.68181818181819, 322.5
1693, 44.18181818181819, 15.0, 0, 59.18181818181819, 324.0
1731, 42.68181818181819, 15.0, 0, 57.68181818181819, 325.5
1743, 41.68181818181819, 10.0, 0, 51.68181818181819, 326.5
1766, 40.18181818181819, 15.0, 0, 55.18181818181819, 328.0
1790, 38.68181818181819, 15.0, 0, 53.68181818181819, 329.5
1811, 38.18181818181819, 5.0, 0, 43.18181818181819, 330.0
1835, 36.68181818181819, 15.0, 0, 51.68181818181819, 331.5
1848, 35.68181818181819, 10.0, 0, 45.68181818181819, 332.5
1873, 34.68181818181819, 10.0, 0, 44.68181818181819, 333.5
1899, 33.68181818181819, 10.0, 0, 43.68181818181819, 334.5
1931, 32.68181818181819, 10.0, 0, 42.68181818181819, 335.5
1968, 31.18181818181819, 15.0, 0, 46.18181818181819, 337.0
2001, 29.68181818181819, 15.0, 0, 44.68181818181819, 338.5
2051, 27.68181818181819, 20.0, 0, 47.68181818181819, 340.5
2101, 25.18181818181819, 25.0, 0, 50.18181818181819, 343.0
2138, 23.68181818181819, 15.0, 0, 38.68181818181819, 344.5
2181, 21.18181818181819, 25.0, 0, 46.18181818181819, 347.0
2215, 20.18181818181819, 10.0, 0, 30.18181818181819, 348.0
2256, 18.68181818181819, 15.0, 0, 33.68181818181819, 349.5
2293, 17.68181818181819, 10.0, 0, 27.68181818181819, 350.5
2320, 16.18181818181819, 15.0, 0, 31.18181818181819, 352.0
2347, 15.18181818181819, 10.0, 0, 25.18181818181819, 353.0
2373, 14.68181818181819, 5.0, 0, 19.68181818181819, 353.5
2399, 13.68181818181819, 10.0, 0, 23.68181818181819, 354.5
2432, 13.68181818181819, 0.0, 0, 13.68181818181819, 354.5
2462, 12.68181818181819, 10.0, 0, 22.68181818181819, 355.5
2490, 12.18181818181819, 5.0, 0, 17.18181818181819, 356.0
2521, 11.68181818181819, 5.0, 0, 16.68181818181819, 356.5
2544, 11.68181818181819, 0.0, 0, 11.68181818181819, 356.5
2572, 11.18181818181819, 5.0, 0, 16.18181818181819, 357.0
2602, 10.18181818181819, 10.0, 0, 20.18181818181819, 358.0
2632, 9.681818181818187, 5.0, 0, 14.68181818181819, 358.5
2656, 9.681818181818187, 0.0, 0, 9.681818181818187, 358.5
2683, 9.181818181818187, 5.0, 0, 14.18181818181819, 359.0
2713, 8.681818181818187, 5.0, 0, 13.68181818181819, 359.5
2736, 8.181818181818187, 5.0, 0, 13.18181818181819, 360.0
2771, 8.181818181818187, 0.0, 0, 8.181818181818187, 360.0
2799, 7.681818181818187, 5.0, 0, 12.68181818181819, 360.5
2835, 7.681818181818187, 0.0, 0, 7.681818181818187, 360.5
2861, 7.181818181818187, 5.0, 0, 12.18181818181819, 361.0
2889, 7.181818181818187, 0.0, 0, 7.181818181818187, 361.0
2917, 7.181818181818187, 0.0, 0, 7.181818181818187, 361.0
2939, 6.181818181818187, 10.0, 0, 16.18181818181819, 362.0
2969, 6.181818181818187, 0.0, 0, 6.181818181818187, 362.0
3002, 5.681818181818187, 5.0, 0, 10.68181818181819, 362.5
3037, 5.181818181818187, 5.0, 0, 10.18181818181819, 363.0
3075, 4.681818181818187, 5.0, 0, 9.681818181818187, 363.5
3097, 4.681818181818187, 0.0, 0, 4.681818181818187, 363.5
3141, 4.681818181818187, 0.0, 0, 4.681818181818187, 363.5
3192, 4.681818181818187, 0.0, 0, 4.681818181818187, 363.5
3229, 4.681818181818187, 0.0, 0, 4.681818181818187, 363.5
3266, 4.681818181818187, 0.0, 0, 4.681818181818187, 363.5
3303, 4.181818181818187, 5.0, 0, 9.181818181818187, 364.0
3341, 4.181818181818187, 0.0, 0, 4.181818181818187, 364.0
3396, 3.681818181818187, 5.0, 0, 8.681818181818187, 364.5
3429, 3.181818181818187, 5.0, 0, 8.181818181818187, 365.0
3459, 2.681818181818187, 5.0, 0.8045454545454561, 8.486363636363643, 365.5
3492, 2.681818181818187, 0.0, 1.609090909090912, 4.290909090909099, 365.5
3529, 1.681818181818187, 10.0, 2.113636363636368, 13.79545454545456, 366.5
3571, 1.681818181818187, 0.0, 2.618181818181824, 4.300000000000011, 366.5
3615, 1.681818181818187, 0.0, 3.122727272727281, 4.804545454545467, 366.5
3649, 1.681818181818187, 0.0, 3.627272727272737, 5.309090909090924, 366.5
3676, 1.681818181818187, 0.0, 4.131818181818192, 5.813636363636379, 366.5
3708, 1.681818181818187, 0.0, 4.636363636363648, 6.318181818181835, 366.5
3738, 1.181818181818187, 5.0, 4.990909090909105, 11.17272727272729, 367.0
3769, 1.181818181818187, 0.0, 5.345454545454561, 6.527272727272748, 367.0
3789, 0.681818181818187, 5.0, 5.550000000000017, 11.23181818181821, 367.5
3818, 0.681818181818187, 0.0, 5.754545454545473, 6.43636363636366, 367.5
3846, 0.181818181818187, 5.0, 5.809090909090929, 10.99090909090912, 368.0
3871, -0.318181818181813, 5.0, 5.713636363636385, 10.39545454545457, 368.5
3898, -0.318181818181813, 0.0, 5.618181818181841, 5.300000000000028, 368.5
3923, -0.818181818181813, 5.0, 5.372727272727297, 9.554545454545483, 369.0
3946, -0.818181818181813, 0.0, 5.127272727272753, 4.30909090909094, 369.0
3978, -0.818181818181813, 0.0, 4.881818181818208, 4.063636363636395, 369.0
4001, -1.318181818181813, 5.0, 4.486363636363665, 8.168181818181852, 369.5
4022, -1.318181818181813, 0.0, 4.090909090909121, 2.772727272727308, 369.5
4062, -1.318181818181813, 0.0, 3.695454545454577, 2.377272727272764, 369.5
4092, -1.318181818181813, 0.0, 3.300000000000034, 1.981818181818221, 369.5
